"배분ID","보충유형","매장코드","매장명","상품거래","상품시즌","스타일코드","컬러","사이즈","배분상태","배분확정수량","출고검출수량","출고대기수량","출고확정수량","배분 확정자","배분확정일","출고예정일","출고검출일","출고대기일","출고확정일","매장입고일","출고ID","매장자동입고확정",""
"XDIST202605120005021564","MD요청-상품","10028","롯데일산","위탁","24N","DXSH7254N","BES","230","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 18:00:11","2026-05-13 18:00:11","2026-05-13 18:00:11","2026-05-14 01:04:15","X202605001014750","Y",""
"XDIST202605120005021564","MD요청-상품","50162","영주(대-위)","위탁","24N","DXSH7254N","BES","240","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 01:01:58","X202605001014751","Y",""
"XDIST202605120005021564","MD요청-상품","30030","스타필드고양(직)","위탁","24N","DXSH7254N","BES","270","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 01:04:52","X202605001014754","Y",""
"XDIST202605120005021564","MD요청-상품","30030","스타필드고양(직)","위탁","24N","DXSH7254N","BES","250","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 01:04:52","X202605001014754","Y",""
"XDIST202605120005021564","MD요청-상품","50167","부산광복(대-위)","위탁","24N","DXSH7254N","BES","230","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 01:01:48","X202605001014763","Y",""
"XDIST202605120005021564","MD요청-상품","10023","갤러리아대전","위탁","24N","DXSH7254N","BES","260","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 18:00:11","2026-05-13 18:00:11","2026-05-13 18:00:11","2026-05-14 01:01:27","X202605001014765","Y",""
"XDIST202605120005021564","MD요청-상품","10023","갤러리아대전","위탁","24N","DXSH7254N","BES","230","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 18:00:11","2026-05-13 18:00:11","2026-05-13 18:00:11","2026-05-14 01:01:27","X202605001014765","Y",""
"XDIST202605120005021564","MD요청-상품","50202","NC부천(대-위)","위탁","24N","DXSH7254N","BES","270","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 18:00:11","2026-05-13 18:00:11","2026-05-13 18:00:11","2026-05-14 01:04:59","X202605001014766","Y",""
"XDIST202605120005021564","MD요청-상품","50205","NC강서(대-위)","위탁","24N","DXSH7254N","BES","230","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 18:00:11","2026-05-13 18:00:11","2026-05-13 18:00:11","2026-05-14 01:05:00","X202605001014768","Y",""
"XDIST202605120005021564","MD요청-상품","31006","명동점(직)","위탁","24N","DXSH7254N","BES","240","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 13:23:01","X202605001014770","Y",""
"XDIST202605120005021564","MD요청-상품","50204","인천만수(대-위)","위탁","24N","DXSH7254N","BES","270","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 18:00:11","2026-05-13 18:00:11","2026-05-13 18:00:11","2026-05-14 01:05:27","X202605001014771","Y",""
"XDIST202605120005021564","MD요청-상품","31005","강남사옥(직)","위탁","24N","DXSH7254N","BES","230","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 09:53:10","X202605001014772","Y",""
"XDIST202605120005021564","MD요청-상품","10030","롯데센텀","위탁","24N","DXSH7254N","BES","240","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 18:00:12","2026-05-13 18:00:12","2026-05-13 18:00:12","2026-05-14 01:04:06","X202605001014779","Y",""
"XDIST202605120005021564","MD요청-상품","50052","동해(대-위)","위탁","24N","DXSH7254N","BES","230","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 18:00:12","2026-05-13 18:00:12","2026-05-13 18:00:12","2026-05-14 01:01:28","X202605001014781","Y",""
"XDIST202605120005021564","MD요청-상품","50175","공주(대-위)","위탁","24N","DXSH7254N","BES","240","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 01:02:08","X202605001014783","Y",""
"XDIST202605120005021564","MD요청-상품","50175","공주(대-위)","위탁","24N","DXSH7254N","BES","230","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 01:02:08","X202605001014783","Y",""
"XDIST202605120005021564","MD요청-상품","50174","구미중앙(대-위)","위탁","24N","DXSH7254N","BES","270","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 01:01:57","X202605001014784","Y",""
"XDIST202605120005021564","MD요청-상품","50174","구미중앙(대-위)","위탁","24N","DXSH7254N","BES","230","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 01:01:57","X202605001014784","Y",""
"XDIST202605120005021564","MD요청-상품","50177","남원(대-위)","위탁","24N","DXSH7254N","BES","230","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 18:00:12","2026-05-13 18:00:12","2026-05-13 18:00:12","2026-05-14 01:01:52","X202605001014786","Y",""
"XDIST202605120005021564","MD요청-상품","50055","창원중앙(대-위)","위탁","24N","DXSH7254N","BES","270","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 01:02:13","X202605001014788","Y",""
"XDIST202605120005022745","엑셀수기배분","11019","K_신세계대전","위탁","25S","DKAZ73053","IVS","140","출고완료","5","5","0","0","김주형(RLAWNGUD14)","2026-05-12","2026-05-13","2026-05-13 17:59:04","2026-05-13 17:59:04","2026-05-13 17:59:04","","X202605001027583","Y",""
"XDIST202605120005022745","엑셀수기배분","11019","K_신세계대전","위탁","25S","DKAZ73053","SBL","140","출고완료","6","6","0","0","김주형(RLAWNGUD14)","2026-05-12","2026-05-13","2026-05-13 17:59:04","2026-05-13 17:59:04","2026-05-13 17:59:04","","X202605001027587","Y",""
"XDIST202605120005021564","MD요청-상품","50178","태백(대-위)","위탁","24N","DXSH7254N","BES","270","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 01:02:32","X202605001014794","Y",""
"XDIST202605120005021564","MD요청-상품","50178","태백(대-위)","위탁","24N","DXSH7254N","BES","230","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 01:01:45","X202605001014794","Y",""
"XDIST202605120005021564","MD요청-상품","10035","신세계의정부","위탁","24N","DXSH7254N","BES","240","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-13 17:55:06","2026-05-14 01:04:45","X202605001014797","Y",""
"XDIST202605120005021564","MD요청-상품","30028","광주상무(직)","위탁","24N","DXSH7254N","BES","240","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-05-12","2026-05-13","2026-05-13 18:00:12","2026-05-13 18:00:12","2026-05-13 18:00:12","2026-05-14 01:01:22","X202605001014799","Y",""
