"배분ID","보충유형","매장코드","매장명","상품거래","상품시즌","스타일코드","컬러","사이즈","배분상태","배분확정수량","출고검출수량","출고대기수량","출고확정수량","배분 확정자","배분확정일","출고예정일","출고검출일","출고대기일","출고확정일","매장입고일","출고ID","매장자동입고확정",""
"XDIST202604300004944821","MD요청-상품","10020","롯데청량리","위탁","26N","DXCR3256N","BKS","F","출고완료","1","1","0","1","장윤희(YHJANG)","2026-04-30","2026-04-30","2026-04-30 16:47:03","2026-04-30 16:47:03","2026-04-30 16:47:03","2026-05-01 01:03:46","X202604003403973","Y",""
"XDIST202604300004944821","MD요청-상품","31006","명동점(직)","위탁","26N","DXCR3256N","BKS","F","출고완료","1","1","0","1","장윤희(YHJANG)","2026-04-30","2026-04-30","2026-04-30 16:47:03","2026-04-30 16:47:03","2026-04-30 16:47:03","2026-05-01 10:53:11","X202604003403974","Y",""
"XDIST202604300004944822","MD요청-상품","50041","홍성점(대-위)","위탁","26N","DXCR3256N","PKS","F","출고완료","1","1","0","1","장윤희(YHJANG)","2026-04-30","2026-04-30","2026-04-30 16:47:03","2026-04-30 16:47:03","2026-04-30 16:47:03","2026-05-01 01:03:11","X202604003403976","Y",""
"XDIST202604300004949640","MD요청-상품","50172","안성(대-위)","위탁","21N","DXLP2101N","BES","240","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:39:02","2026-05-04 18:39:02","2026-05-04 18:39:02","2026-05-05 01:03:01","X202604003465890","Y",""
"XDIST202604300004949640","MD요청-상품","50174","구미중앙(대-위)","위탁","21N","DXLP2101N","BES","240","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:39:02","2026-05-04 18:39:02","2026-05-04 18:39:02","2026-05-05 01:03:42","X202604003465891","Y",""
"XDIST202604300004949640","MD요청-상품","50019","경주(대-위)","위탁","21N","DXLP2101N","BES","240","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:49:01","2026-05-04 18:49:01","2026-05-04 18:49:01","2026-05-05 01:02:50","X202604003465897","Y",""
"XDIST202604300004949640","MD요청-상품","10046","갤러리아센터시티","위탁","21N","DXLP2101N","BES","250","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:49:01","2026-05-04 18:49:01","2026-05-04 18:49:01","2026-05-05 01:02:59","X202604003465912","Y",""
"XDIST202604300004949506","MD요청-상품","50160","정읍(대-위)","위탁","25N","DXSH7275N","BKD","250","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:40:01","2026-05-04 18:40:01","2026-05-04 18:40:01","2026-05-05 01:02:32","X202604003463806","Y",""
"XDIST202604300004949506","MD요청-상품","50162","영주(대-위)","위탁","25N","DXSH7275N","BKD","230","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:40:01","2026-05-04 18:40:01","2026-05-04 18:40:01","2026-05-05 01:02:43","X202604003463808","Y",""
"XDIST202604300004949506","MD요청-상품","50162","영주(대-위)","위탁","25N","DXSH7275N","BKD","245","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:40:01","2026-05-04 18:40:01","2026-05-04 18:40:01","2026-05-05 01:02:45","X202604003463808","Y",""
"XDIST202604300004949506","MD요청-상품","50041","홍성점(대-위)","위탁","25N","DXSH7275N","BKD","235","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:40:01","2026-05-04 18:40:01","2026-05-04 18:40:01","2026-05-05 01:02:18","X202604003463809","Y",""
"XDIST202604300004949506","MD요청-상품","50165","청주율량(대-위)","위탁","25N","DXSH7275N","BKD","235","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:40:01","2026-05-04 18:40:01","2026-05-04 18:40:01","2026-05-05 01:02:16","X202604003463814","Y",""
"XDIST202604300004949506","MD요청-상품","10021","신세계천안아산","위탁","25N","DXSH7275N","BKD","250","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:48:00","2026-05-04 18:48:00","2026-05-04 18:48:00","2026-05-05 01:02:46","X202604003463817","Y",""
"XDIST202604300004949506","MD요청-상품","10023","갤러리아대전","위탁","25N","DXSH7275N","BKD","240","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:48:00","2026-05-04 18:48:00","2026-05-04 18:48:00","2026-05-05 01:02:20","X202604003463822","Y",""
"XDIST202604300004949506","MD요청-상품","10025","롯데노원","위탁","25N","DXSH7275N","BKD","240","출고완료","2","2","0","2","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:48:00","2026-05-04 18:48:00","2026-05-04 18:48:00","2026-05-05 01:08:17","X202604003463826","Y",""
"XDIST202604300004949506","MD요청-상품","31005","강남사옥(직)","위탁","25N","DXSH7275N","BKD","240","출고완료","1","1","0","1","염정욱(STEVAN0592)","2026-04-30","2026-05-04","2026-05-04 18:40:01","2026-05-04 18:40:01","2026-05-04 18:40:01","2026-05-05 09:13:09","X202604003463827","Y",""
